action_id	risk_category	mitigation_plan	action	mitigation_impact	deadline	owner	status	erm_bcm_management_type	management_detail	notes
A0001	Technology Risk	Identity & Access Management	Review privileged accounts	0.1	2025-06-12	HR Systems Lead	Complete	Risk Treatment	Communication	Synthetic sample record
A0002	Technology Risk	Identity & Access Management	Enforce MFA for all staff	0.1	2025-11-05	HR Systems Lead	In Progress	Recording & Reporting	Alignment	Synthetic sample record
A0003	Technology Risk	Identity & Access Management	Rotate stale credentials	0.1	2025-06-25	HR Systems Lead	Pending	Risk Evaluation	Foresight	Synthetic action for demo use
A0004	Technology Risk	Identity & Access Management	Disable inactive accounts	0.1	2025-11-20	HR Systems Lead	Complete	Risk Treatment	Adaptation	Generated for public repository
A0005	Technology Risk	Security Monitoring	Tune SIEM alerts	0.1	2025-05-12	Director of IT Security	In Progress	Monitoring & Review	Focus	Synthetic sample record
A0006	Technology Risk	Security Monitoring	Patch critical systems	0.1	2025-08-15	Director of IT Security	In Progress	Monitoring & Review	Alignment	Use for testing and prototyping
A0007	Technology Risk	Security Monitoring	Review endpoint detections	0.1	2025-09-05	Director of IT Security	In Progress	Monitoring & Review	Learning	Generated for public repository
A0008	Technology Risk	Security Monitoring	Run phishing simulation	0.1	2025-04-05	Director of IT Security	In Progress	Risk Treatment	Tolerance	Synthetic sample record
A0009	Technology Risk	Staff Awareness	Launch awareness campaign	0.1	2025-08-12	Director of IT Security	Pending	Monitoring & Review	Execution	Synthetic action for demo use
A0010	Technology Risk	Staff Awareness	Update training content	0.1	2025-04-25	Director of IT Security	In Progress	Risk Treatment	Foresight	Synthetic action for demo use
A0011	Technology Risk	Staff Awareness	Track completion rates	0.1	2025-09-15	Director of IT Security	Pending	Risk Treatment	Learning	Generated for public repository
A0012	Technology Risk	Staff Awareness	Target high-risk groups	0.1	2025-03-12	Director of IT Security	Complete	Risk Evaluation	Execution	Use for testing and prototyping
A0013	Financial Stability	Revenue Diversification	Launch short certificate	0.1	2025-08-12	FP&A Manager	Overdue	Recording & Reporting	Validation	Use for testing and prototyping
A0014	Financial Stability	Revenue Diversification	Create employer-sponsored cohort	0.1	2025-05-12	FP&A Manager	Pending	Monitoring & Review	Communication	Use for testing and prototyping
A0015	Financial Stability	Revenue Diversification	Expand alumni giving outreach	0.1	2025-09-15	FP&A Manager	Complete	Risk Treatment	Reduction	Use for testing and prototyping
A0016	Financial Stability	Revenue Diversification	Submit grant proposals	0.1	2025-03-05	FP&A Manager	Pending	Risk Treatment	Learning	Synthetic action for demo use
A0017	Financial Stability	Scenario Planning	Refresh revenue forecast	0.1	2025-10-25	Director of Partnerships	In Progress	Monitoring & Review	Foresight	Synthetic sample record
A0018	Financial Stability	Scenario Planning	Model downside scenarios	0.1	2025-04-28	Director of Partnerships	In Progress	Monitoring & Review	Learning	Generated for public repository
A0019	Financial Stability	Scenario Planning	Review expense triggers	0.1	2025-09-12	Director of Partnerships	Pending	Recording & Reporting	Alignment	Generated for public repository
A0020	Financial Stability	Scenario Planning	Update cost containment plan	0.1	2025-05-25	Director of Partnerships	Overdue	Risk Evaluation	Learning	Generated for public repository
A0021	Financial Stability	Scenario Planning	Review pricing assumptions	0.1	2025-11-25	Director of Partnerships	Complete	Risk Treatment	Reduction	Generated for public repository
A0022	Financial Stability	Reserve Management	Set reserve policy	0.1	2025-04-15	Controller	In Progress	Monitoring & Review	Distribution	Synthetic sample record
A0023	Financial Stability	Reserve Management	Track reserve ratio	0.1	2025-04-05	Controller	Pending	Recording & Reporting	Focus	Synthetic action for demo use
A0024	Financial Stability	Reserve Management	Review liquidity targets	0.1	2025-10-25	Controller	Pending	Risk Treatment	Tolerance	Use for testing and prototyping
A0025	Financial Stability	Reserve Management	Rebalance reserve allocation	0.1	2025-11-28	Controller	Overdue	Risk Treatment	Communication	Generated for public repository
A0026	Service Disruption	Business Continuity Planning	Update continuity plan	0.1	2025-10-05	Business Continuity Manager	Complete	Risk Treatment	Distribution	Synthetic sample record
A0027	Service Disruption	Business Continuity Planning	Identify critical processes	0.1	2025-11-12	Business Continuity Manager	In Progress	Risk Treatment	Alignment	Synthetic sample record
A0028	Service Disruption	Business Continuity Planning	Confirm recovery owners	0.1	2025-03-12	Business Continuity Manager	Complete	Risk Evaluation	Alignment	Generated for public repository
A0029	Service Disruption	Business Continuity Planning	Map alternate workflows	0.1	2025-06-15	Business Continuity Manager	Pending	Recording & Reporting	Distribution	Synthetic action for demo use
A0030	Service Disruption	Business Continuity Planning	Review contact trees	0.1	2025-10-12	Business Continuity Manager	Complete	Recording & Reporting	Validation	Synthetic action for demo use
A0031	Service Disruption	Remote Work Readiness	Test VPN capacity	0.1	2025-09-20	Operations Director	In Progress	Risk Evaluation	Learning	Synthetic sample record
A0032	Service Disruption	Remote Work Readiness	Provision spare devices	0.1	2025-08-05	Operations Director	Pending	Risk Treatment	Distribution	Synthetic action for demo use
